PROGRAM,RECIPIENT_NAME,RECIPIENT_LOCATION_SA2_NAME_2016,RECIPIENT_LOCATION_SA3_NAME_2016,RECIPIENT_LOCATION_SA4_Name_2016,RECIPIENT_LOCATION_GCCSA_NAME_2016,PROJECT_TITLE_OUTLINE,RESEARCHER_FELLOW,SECTOR,PARTNER,APPROVAL_DATE,FUNDING_COMMITTED_EXGST,QLD_SCIENCE_PRIORITY,PROJECT_TIMEFRAME_MONTH,ROUND_NUMBER
Ignite Ideas,Futureprofit Pty Ltd,Springwood,Springwood - Kingston,Logan - Beaudesert,Greater Brisbane,EVORCE product validation and market commercialisation project,,Social Enterprise,,22/06/2016,128175,,24,1
Ignite Ideas,GO1 Pty Ltd,Woodridge,Springwood - Kingston,Logan - Beaudesert,Greater Brisbane,GO1 Online Training Native Mobile Application Development,,IT & Enterprise software,,22/06/2016,178000,,24,1
Ignite Ideas,Guina Energy Technologies Pty Ltd,,Southport,Gold Coast,Rest of Qld,Superconducting Homopolar Generator for Hydrogen Fuel Production,,"Energy and clean tech
",Oxford instruments|Fabrum Solutions|Sumitomo Heavy Industries,22/06/2016,125000,,24,1
Ignite Ideas,Hypometer Technologies Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Hypometer Technologies Big Data Analytics,,B2C,,22/06/2016,98900,,12,1
Ignite Ideas,Immersive Robotics Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Wireless VR BETA,,Science and engineering,,22/06/2016,100000,,12,1
Ignite Ideas,Impact Building Systems Pty Ltd,Upper Kedron - Ferny Grove,The Gap - Enoggera,Brisbane - West,Greater Brisbane,Patented low cost Solar Thermal Collector,,Healthcare and Biotechnology,,22/06/2016,100000,,12,1
Ignite Ideas,Innovation Overload Pty Ltd,Bellbowrie - Moggill,Kenmore - Brookfield - Moggill,Brisbane - West,Greater Brisbane,ROVER (Remotely Operated Variable Effort Rotator),,Science and engineering,,22/06/2016,100000,,12,1
Ignite Ideas,J.T. Lawson & G.R. Wickham,Dalrymple,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld,ATV Angle Alarm Development Project,,Energy and clean tech,,22/06/2016,99668,,12,1
Ignite Ideas,Kahest Pty Ltd,Burdekin,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld,Catch'n'Release Anchor Retrieval System Commercialisation and Testing,,Manufacturing/Tech/Safety,,22/06/2016,91000,,12,1
Ignite Ideas,Magnetica Limited,Clayfield,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Manufacturing Innovative MRI sub-systems,,Healthcare and Biotechnology,University of Queensland,22/06/2016,250000,,24,1
Ignite Ideas,Mt. Uncle's Banana Flour Pty Ltd,Dalrymple,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld,Natural Evolution - a world-class food production process for gluten-free and RS products,,Food Processing Technology,Commercialisation Australia|Iceberg Innovation|autotec automation australia|EPIPHANY EDITING & PUBLISHING,22/06/2016,250000,,24,1
Ignite Ideas,Opmantek Ltd,Surfers Paradise,Surfers Paradise,Gold Coast,Rest of Qld,ReportIoT - IoT and BYoD management platform,,IT & Enterprise software,Griffith University (GC),22/06/2016,250000,,24,1
Ignite Ideas,Osler Technology Pty Ltd,Coolum Beach,Maroochy,Sunshine Coast,Rest of Qld,Osler Clinical Performance - Community Model,,Pharmaceutical/ Bio-pharmaceuticals,,22/06/2016,100000,,12,1
Ignite Ideas,"Parsons, Bradley Evan",Mount Coot-tha,The Gap - Enoggera,Brisbane - West,Greater Brisbane,FitMachine,,IT & Enterprise software,,22/06/2016,100000,,12,1
Ignite Ideas,Pimovation Pty Ltd,Coomera,Ormeau - Oxenford,Gold Coast,Rest of Qld,Grapple Go To Market,,Social Media,,22/06/2016,100000,,12,1
Ignite Ideas,Redeye Apps Pty Ltd,Nanango,Burnett,Wide Bay,Rest of Qld,RedEyeWFM,,IT & Enterprise software,,22/06/2016,250000,,24,1
Ignite Ideas,Roubler Australia Pty Ltd,Mount Coot-tha,The Gap - Enoggera,Brisbane - West,Greater Brisbane,Commercialisation of Roubler’s complete workforce management solution,,IT & Enterprise software,,22/06/2016,99144,,12,1
Ignite Ideas,Strategik Pty Ltd,Cleveland,Cleveland - Stradbroke,Brisbane - East,Greater Brisbane,Strategik 365,,Healthcare and Biotechnology,,22/06/2016,99000,,12,1
Ignite Ideas,Surgical Performance Pty Ltd,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Greater Brisbane,Surgeon Score Card,,Energy and clean tech,,22/06/2016,100000,,12,1
Ignite Ideas,Synergy Eight Pty Ltd,Strathpine - Brendale,Strathpine,Moreton Bay - South,Greater Brisbane,Commercialisation of digital marketing software,,E-commerce,,22/06/2016,250000,,24,1
Ignite Ideas,The Trustee for The Stjepanovic Family Trust,South Brisbane,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Commercialisation of Gruntify, real-time incident and report management platform",,IT & Enterprise software,,22/06/2016,100000,,12,1
Ignite Ideas,V2I Pty Ltd,Pacific Pines - Gaven,Nerang,Gold Coast,Rest of Qld,V2i Realtime Platform to Enable Systems Re-engineering,,IT & Enterprise software,,22/06/2016,250000,,24,1
Ignite Ideas,Wedding Village Pty Ltd,Bellbowrie - Moggill,Kenmore - Brookfield - Moggill,Brisbane - West,Greater Brisbane,"Commercialisation of visual search, comparison & booking platform for wedding services",,Horticulture,,22/06/2016,97800,,12,1
Innovation Partnerships,Central Queensland University,Rockhampton City,Rockhampton,Central Queensland,Rest of Qld,Battery and Microgrid Management Systems.,Prof Peter Wolfs,Electronics,Griffith University|Elevare Energy,06/09/2016,333148,Renewable Energy,24,1
Innovation Partnerships,Commonwealth Scientific and Industrial Research Organisation,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,"More Beef, Less Feed. ",,Agriculture,Queensland Alliance for Agriculture and Food Innovation|The University of Queensland|Australian Agricultural Company|North Australian Pastoral Company,06/09/2016,750000,Enhanced Production Technologies,36,1
Innovation Partnerships,Commonwealth Scientific and Industrial Research Organisation,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Transforming Productivity of Prawn Farming.,,Agriculture,James Cook University|Australian Prawn Farms Pty Ltd|Pacific Reef Fisheries|Gold Coast Marine Aquaculture,06/09/2016,650000,Enhanced Production Technologies,36,1
Innovation Partnerships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Biomanufacturing Advanced Animal Feed Supplements. ,A/Prof Robert Speight,Agriculture,The University of Queensland|Ridley AgriProducts Pty Ltd|Bioproton Pty Ltd|Kennedy Creek Lime Pty Ltd,06/09/2016,894704,Enhanced Production Technologies,36,1
Innovation Partnerships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Advancing Tropical Pulses for Queensland. ,Prof Sagadevan Mundree,Agriculture,Department of Agriculture and Fisheries|Blue Ribbon Roasting Trading|Blue Ribbon Grains & Pulse,06/09/2016,750000,Enhanced Production Technologies,36,1
Innovation Partnerships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Additive Biomanufacturing Technology Platform. ,Prof Dietmar W. Hutmacher,Health,Translational Research Institute|Biofabrication Design Solutions Pty Ltd|3D Industries Pty Ltd|3D Space Labs Pty Ltd,06/09/2016,705000,Enhanced Production Technologies,36,1
Innovation Partnerships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Automation-enabling Positioning for Underground Mining. ,A/Prof Michael Milford,Mining,CRC Mining|Caterpillar Inc,06/09/2016,428240,Enhanced Production Technologies,36,1
Innovation Partnerships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Advancing Cerebral Palsy in Queensland.,Prof Roslyn Boyd,Health,CSIRO (The Australian e-health Research Centre)|Griffith University|Cerebral Palsy Alliance|Children's Health Queensland|Merchant Charitable Foundation,06/09/2016,1499710,Health Data Management,36,1
Innovation Partnerships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Translating Incremental-Sheet-Forming to Market.,A/Prof Paul Meehan,Manufacturing,"QMI (Queensland Manufacturing Institute) Solutions|Boeing Research and Technology, Boeing Defence Australia",06/09/2016,1224000,Enhanced Production Technologies,36,1
Innovation Partnerships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Zero-Energy Sewage Treatment. ,Prof Zhiguo Yuan,"Electricity, gas, water and waste services",Southern Cross University|Queensland Urban Utilities|City of Gold Coast|Wide Bay Water Corporation|South Australian Water Corporation|Western Australia Water Corporation,06/09/2016,677953,Sustainable Water,36,1
Innovation Partnerships,The University of Queensland,Gatton,Toowoomba,Toowoomba,Rest of Qld,A Living Koala Genome Bank. ,A/Prof Stephen Johnston,other,Queensland University of Technology|Dreamworld Ardent Leisure,06/09/2016,600074,Protecting Biodiversity,36,1
Innovation Partnerships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Improving Tick-Resistance in Beef Cattle.,Prof Murray Mitchell,Agriculture,James Cook University|Nindooinbah Pastoral Company,06/09/2016,250000,Enhanced Production Technologies,36,1
Innovation Partnerships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Rapid Diagnosis of Pathogenic Infections. ,A/Prof Lachlan Coin,Health,Children's Health Queensland Hospital and Health Service (Queensland Paediatric Infectious Diseases Laboratory)|Royal Brisbane and Women's Hospital,06/09/2016,449886,Health Data Management,36,1
Innovation Partnerships,The University of Queensland,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,Bentonite Abandonment Plugs.,Prof Brian Towler,Natural Resources,Queensland University of Technology|QGC Limited|Santos Limited|Australia Pacific LNG Pty Limited|Arrow Energy Pty Ltd,06/09/2016,175000,Sustainable infrastructure,36,1
Innovation Partnerships,University of Southern Queensland,Toowoomba - Central,Toowoomba,Toowoomba,Rest of Qld,Health Products from Queensland Algae.,Prof Lindsay Brown,Health,James Cook University |MBD Energy Limited,06/09/2016,258977,Translation of Health,24,1
Knowledge Transfer Partnerships,2 Australia Pty Ltd,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Giftzar will change the way that people give and receive experiential gifts by offering customers flexibility and bringing an interactive and social experience to the gifting market. This project supports local businesses by promoting them to domestic and international markets.,,Arts and recreational services,Griffith University,18/07/2016,44000,Information and communication technologies,12,2
Knowledge Transfer Partnerships,A G Jekyll and K A Jekyll,Labrador,Gold Coast - North,Gold Coast,Rest of Qld,Repositioning our brand to develop and market a world class surf and beach visitor experience in Queensland capitalising on the growing International and domestic Educational tour market.,,Other,Griffith University,18/07/2016,21200,None,12,2
Knowledge Transfer Partnerships,Amtac Professional Services Pty Ltd,Greenbank,Jimboomba,Logan - Beaudesert,Greater Brisbane,"Design and produce low cost, locally manufactured, wirelessly connected sensors to monitor liquid waste in commercial and domestic applications to improve efficiency, accountability and environmental value.",,Other,Griffith University,18/07/2016,28220,,6,3
Knowledge Transfer Partnerships,Axiom Project Services Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Undertake research which aims to clarify what is considered best practice in the planning and preparation of pre-feasibility and feasibility studies in minerals development. Improved definition and understanding could increase market demand and business opportunity, building on Queensland's reputation as a Centre for Excellence in mineral project studies.",,"Professional, scientific and technical services",University of Queensland,18/07/2016,50000,"Engineering, particularly mining",12,2
Knowledge Transfer Partnerships,Be Psyched Pty Ltd,Bundall,Surfers Paradise,Gold Coast,Rest of Qld,"Develop an integrated online platform which is a one stop shop for health professionals such as psychologists, social workers and dieticians to provide services to the consumer from any location around the world.(Airbnb of Global Allied Health Services)",,Information and communication technologies,Central Queensland University,18/07/2016,45600,,12,3
Knowledge Transfer Partnerships,Bioproton Pty Ltd,Rocklea - Acacia Ridge,Rocklea - Acacia Ridge,Brisbane - South,Greater Brisbane,Develop a new process to remove dags from feedlot cattle.,,"Agriculture, forestry and fisheries",University of Queensland,,47960,,12,1
Knowledge Transfer Partnerships,Bondi Labs Pty Ltd,New Farm,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Develop training materials for a range of disciplines for use in visualization facilities, technology enhanced classrooms, industry training as well as hand held and mobile devices to support learning.",,Education and training,University of Sunshine Coast,18/07/2016,40000,,12,2
Knowledge Transfer Partnerships,CB Aerospace Pty Ltd,Wynnum West - Hemmant,Wynnum - Manly,Brisbane - East,Greater Brisbane,"Prototype testing of proprietary software and hardware utilising wind tunnel facilities to further develop engineering advances in the Chimera vehicle (UAV) a unique multi-rotor design that bridges the gap between manoeuvrability and endurance. Chimera is uniquely placed to service a range of Queensland, national and international markets.",,"Professional, scientific and technical services",University of Queensland,18/07/2016,38000,Information and communication technologies,12,2
Knowledge Transfer Partnerships,Ellume Pty Ltd,East Brisbane,Brisbane Inner - East,Brisbane Inner City,Greater Brisbane,Develop an innovative ultra-sensitive test to help diagnose respiratory syncytial virus – one of the most common causes of childhood lung infections.,,Health care and social assistance,University of Queensland,,50000,,12,1
Knowledge Transfer Partnerships,Engineroom Infrastructure Consulting Pty Ltd,Caloundra Hinterland,Sunshine Coast Hinterland,Sunshine Coast,Rest of Qld,Develop testing procedures and a predictive model to better deal with the challenges of dewatering high clay mine tailings from saline water.,,Mining,University of Queensland,18/07/2016,33412,,12,3
Knowledge Transfer Partnerships,EPI Capital Pty Ltd,Fortitude Valley,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Proving a model of investable sales and marketing practices that will allow Tanda (trading name) to seek investment from venture capital and grow the company,,Information media and telecommunications,Queensland University of Technology,,43333,,12,1
Knowledge Transfer Partnerships,Evolving Machine Intelligence Pty Ltd,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,"Use a new machine-intelligent technology to build and demonstrate a modelling tool for aviation engines, to reduce engine maintenance costs and risks significantly.",,"Professional, scientific and technical services",University of Queensland,,48527,,12,1
Knowledge Transfer Partnerships,Fusion Sport Pty Ltd,Darra - Sumner,Forest Lake - Oxley,Ipswich,Greater Brisbane,Developing analytical and visualisation tools to reduce injuries and increase performance in the sports industry and broader fields.,,"Professional, scientific and technical services",Queensland University of Technology,18/07/2016,50000,Information and communication technologies,12,2
Knowledge Transfer Partnerships,GP Mx Solutions Pty Ltd,Eimeo - Rural View,Mackay,Mackay - Isaac - Whitsunday,Rest of Qld,"Development of  program allowing check ins, state wait times etc. through digital technology",,Health care and social assistance,Central Queensland University,,50000,,12,1
Knowledge Transfer Partnerships,GSL A Good Start to Life Pty Ltd,Cairns City,Cairns - South,Cairns,Rest of Qld,Develop online customer engagement and tools for young people affected by disability or mental health disorders.,,Health care and social assistance,James Cook University,,43001,,12,1
Knowledge Transfer Partnerships,Hear and Say Centre for Deaf Children Limited,Ashgrove,Brisbane Inner - West,Brisbane Inner City,Greater Brisbane,Create a next-generation prosthetic ear for children with microtia using advanced 3D computer modelling and printing technology.,,Health care and social assistance,Queensland University of Technology,,49667,,12,1
Knowledge Transfer Partnerships,ImmersaView Pty Ltd,Nudgee - Banyo,Nundah,Brisbane - North,Greater Brisbane,"Improve existing immersive display software products to enable the company to compete for larger, more complex contracts.",,Information media and telecommunications,Queensland University of Technology,,44267,,12,1
Knowledge Transfer Partnerships,Like a Photon Creative Pty Ltd,Woolloongabba,Holland Park - Yeronga,Brisbane - South,Greater Brisbane,"Develop and implement an innovative children's content app which delivers books, videos and games.",,Information media and telecommunications,Griffith University,18/07/2016,50000,,12,3
Knowledge Transfer Partnerships,The Trustee for MCKINNON FAMILY TRUST,Forest Lake - Doolandella,Forest Lake - Oxley,Ipswich,Greater Brisbane,Create an innovative software suite for the management of childcare centres’.,,Education and training,University of Queensland,18/07/2016,50000,Information and communication technologies,9,2
Knowledge Transfer Partnerships,Music Broadcasting Society of Queensland Limited,Coorparoo,Holland Park - Yeronga,Brisbane - South,Greater Brisbane,"Expand the Silver Memories radio service in Queensland aged care facilities, for the benefit of people living with dementia.",,Arts and recreational services,University of Queensland,,24960,,12,1
Knowledge Transfer Partnerships,Natura Pacific Pty Ltd,Burleigh Heads,Broadbeach - Burleigh,Gold Coast,Rest of Qld,Create an educational app that will promote the use of native plant species and help reduce the spread of weeds in local ecosystems.,,Other,Griffith University,,22550,,12,1
Knowledge Transfer Partnerships,Opmantek Ltd,Surfers Paradise,Surfers Paradise,Gold Coast,Rest of Qld,Create a technology to enable automatic payment and licence generation for Opmantek's SaaS customers which will improve service and business efficiency.,,Information media and telecommunications,Griffith University,18/07/2016,49333,Information and communication technologies,9,2
Knowledge Transfer Partnerships,Q-Pharm Pty Limited,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Creation of an integrated volunteer management system to support growth in clinical trial volunteers directly benefiting the wellbeing of Queenslanders.,,"Professional, scientific and technical services",University of Queensland,18/07/2016,48889,Medicine and biotechnology,12,2
Knowledge Transfer Partnerships,Redeye Apps Pty Ltd,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Design and develop the second version of the company’s engineering drawing and data management app, allowing clients to manage data and complete work orders on the go in a central cloud-based location via a Big Data solution.",,"Professional, scientific and technical services",Queensland University of Technology,,37333,,12,1
Knowledge Transfer Partnerships,Riverlife Pty Ltd,Kangaroo Point,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Creating a personal safety application to decrease crime rates. This part of the project will focus on implementing speaking diarisation which will allow voices in audio recordings to be matched.,,Arts and recreational services,Griffith University,18/07/2016,44000,Information and communication technologies,12,2
Knowledge Transfer Partnerships,Statcom Solutions Pty Ltd,Kelvin Grove - Herston,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Using new battery technology to create an energy storage system to provide power quality support on utility low voltage networks.,,Manufacturing,Queensland University of Technology,,50000,,12,1
Knowledge Transfer Partnerships,Synergy Eight Pty Ltd,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,Greater Brisbane,Enhance and commercially release the patented process of software which generates a design template based on graphical input to help SMEs solve digital marketing issues.,,Information media and telecommunications,University of Queensland,18/07/2016,37167,,12,3
Knowledge Transfer Partnerships,Taylor Willis Pty Ltd,,Southport,Gold Coast,Rest of Qld,"Identify a range of efficient, cost-effective residential development housing products for 405 square metre lots, contributing to the creation of liveable communities.",,"Professional, scientific and technical services",Bond University,,41021,,12,1
Knowledge Transfer Partnerships,The Corporations of Professional Ecosystems Pty Ltd,Tingalpa,Wynnum - Manly,Brisbane - East,Greater Brisbane,"Development of website focusing on hosting courseware relevant to educators – informal learning which enables assessors to credential educators, with the endorsement of university partnerships",,Education and Training,Queensland University of Technology,,34073,,10,1
Knowledge Transfer Partnerships,The Trustee for Bob Dean Trust,Bundall,Surfers Paradise,Gold Coast,Rest of Qld,Expansion of drone services and to franchise out business model,,"Professional, scientific and technical services",Queensland University of Technology,,49332,,12,1
Knowledge Transfer Partnerships,The Trustee for S & G Witheridge Trust,Fortitude Valley,Brisbane Inner,Brisbane Inner City,Greater Brisbane,"Development of a suite of online calculators to best advise exec committees of owners, strata managers and building managers to drive rapid reduction in carbon emissions through residential high rise",,"Electricity, gas, water and waste services",Griffith University,,37000,,12,1
Knowledge Transfer Partnerships,The Trustee for The Audio Fish Trust,Mountain Creek,Buderim,Sunshine Coast,Rest of Qld,Develop an innovative and independent hearing health service that provides equitable access to Audiology (hearing) services to adult and children in rural and remote areas via telemedicine/telehealth techniques,,Health care and social assistance,University of Queensland,,33074,,12,1
Knowledge Transfer Partnerships,Townsville Engineering Industries Pty Ltd,Mount Louisa,Townsville,Townsville,Rest of Qld,"Develop low cost wireless sensors to monitor equipment and reduce downtime, primarily in the mining and sugar industries.",,Manufacturing,James Cook University,,50000,,12,1
Knowledge Transfer Partnerships,Truii Pty Ltd,Highgate Hill,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Develop user-friendly charting and mapping functionality for the truii.com online data platform.,,"Professional, scientific and technical services",Queensland University of Technology,,48000,,12,1
Knowledge Transfer Partnerships,Watt Utilities Pty Ltd,Bundall,Surfers Paradise,Gold Coast,Rest of Qld,"Enhance and improve functionality to the ""Run your own Tender"" software system by creating new modules and interface enhancements which will better the customer experience and lower costs.",,"Electricity,gas, water and waste services",Griffith University,18/07/2016,36667,,12,3
Knowledge Transfer Partnerships,WorkingMouse Pty Ltd,St Lucia,Sherwood - Indooroopilly,Brisbane - West,Greater Brisbane,"Move the company’s model-driven engineering approach to software development to a cloud-based platform, enabling customers to create and maintain their own software-as-a-service applications .",,Information media and telecommunications,University of Queensland,,50000,,12,1
Knowledge Transfer Partnerships,YFS Ltd,Slacks Creek,Springwood - Kingston,Logan - Beaudesert,Greater Brisbane,Develop and evaluate a youth engagement model and upskill young people in digital mediums to become agents of change and help prevent domestic violence.,,Health care and social assistance,Griffith University,,36000,,11,1
PhD Scholarships,James Cook University,Trinity Beach - Smithfield,Cairns - North,Cairns,Rest of Qld,Impacts of Long-Term Marine Resource Use on the GBR,Miss Samantha Aird,Great Barrier Reef,Lizard Island Research Station | Australian Museum | Queensland Museum,28/01/2016,45000,Protecting Biodiversity,36,1
PhD Scholarships,Griffith University,Salisbury - Nathan,Nathan,Brisbane - South,Greater Brisbane,New prophylactic drugs for malaria,Miss Megan Arnold,Health care and social assistance,Medicines for Malaria Ventre (MMV) Switzerland | CSIRO Materials Science and Engineering,28/01/2016,45000,Translation of Health,36,1
PhD Scholarships,Griffith University,Salisbury - Nathan,Nathan,Brisbane - South,Greater Brisbane,The Association between Diet and Inflammation in Chronic Fatigue Syndrome,Miss Nadia Campagnolo,Health care and social assistance,National Centre for Neuroimmunology and Emerging Diseases | Menzies Health Institute Queensland | Stakeholder groups such as CFS/ME support groups in QLD and NSW as well as clinical experience with a leading  Allergist and a NCNED CFS/ME Dietician,28/01/2016,45000,Translation of Health,36,1
PhD Scholarships,Queensland University of Technology,Brisbane City,Brisbane Inner,Brisbane Inner City,Greater Brisbane,Advanced 3D biofabrication approaches for the treatment of microtia,Mrs Rena Louise Cruz,Health care and social assistance,Hear and Say,28/01/2016,45000,Translation of Health,36,1
